clump_id,7m_loc,12m_loc,tp_loc,loc,tp_sub_loc,pipeline_run
C1,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b4/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b4/,yes
C2,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b6/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b6/,yes(check)
C3,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b4/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b4/,yes(check)
C4,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b6/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b6/,yes(check)
C5,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b4/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b4/,yes
C6,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b2/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b2/,yes
C7,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b6/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b6/,7m_N2H_ERR
C8,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b6/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b6/,yes
C9,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b4/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b4/,yes
C10,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b4/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b4/,yes
C11,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b2/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b2/,yes
C12,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b2/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b2/,yes
C13,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b6/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b6/,yes
C14,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b4/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b4/,yes
C15,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b2/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b2/,yes
C16,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b0/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7ae/,group.uid___A001_X2df7_X7ad/member.uid___A001_X2df7_X7b2/,science_goal.uid___A001_X2df7_X7ac/,member.uid___A001_X2df7_X7b2/,yes
C17,group.uid___A001_X2df7_X7b9/member.uid___A001_X2df7_X7bc/,group.uid___A001_X2df7_X7b9/member.uid___A001_X2df7_X7ba/,group.uid___A001_X2df7_X7b9/member.uid___A001_X2df7_X7c0/,science_goal.uid___A001_X2df7_X7b8/,member.uid___A001_X2df7_X7c0/,yes
